epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.68,1.58757,3.68785,1.73017,0.00673,0.51797,0.09132,0.03643,0.85454,3.80489,1.07144,0.00015719,0.00015719,0.00015719
2,271.435,1.43978,3.12826,1.47247,0.01002,0.81863,0.34837,0.13009,0.96536,3.78788,1.15697,0.000296132,0.000296132,0.000296132
3,352.761,1.41374,2.65322,1.4096,0.00843,0.75163,0.19669,0.04878,1.12252,3.76124,1.27576,0.00040112,0.00040112,0.00040112
4,443.943,1.43029,2.39352,1.40561,0.01003,0.87418,0.50269,0.28005,0.96391,3.3424,1.04704,0.000472156,0.000472156,0.000472156
5,526.106,1.39233,2.11352,1.35393,0.86975,0.2755,0.65736,0.39874,0.91887,3.01803,0.96718,0.000509238,0.000509238,0.000509238
6,608.19,1.30023,1.93754,1.2612,0.86552,0.52439,0.73841,0.43737,1.14997,2.49307,1.21068,0.000512368,0.000512368,0.000512368
7,692.348,1.25005,1.74977,1.25188,0.91547,0.74032,0.82271,0.60995,0.99285,2.04927,0.93352,0.000481544,0.000481544,0.000481544
8,772.471,1.17702,1.64134,1.17827,0.91339,0.81863,0.89063,0.61353,1.0614,1.84189,0.9619,0.000416768,0.000416768,0.000416768
9,860.603,1.17651,1.50959,1.17319,0.89306,0.84542,0.91762,0.67073,1.03409,1.68812,0.92599,0.000297232,0.000297232,0.000297232
10,956.022,1.15517,1.5062,1.16772,0.88778,0.87547,0.94454,0.69398,0.96425,1.51348,0.90708,0.000155761,0.000155761,0.000155761
