epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3527.2,0.95923,0.75489,1.11547,0.94334,0.89379,0.94483,0.75108,0.79603,0.78383,0.97866,0.000848969,0.000848969,0.000848969
43,3583.86,1.02803,0.81506,1.1464,0.8742,0.83346,0.90637,0.72592,0.79646,0.9007,0.97802,0.000834822,0.000834822,0.000834822
44,3638.44,0.97229,0.77806,1.10912,0.94184,0.84663,0.93494,0.74241,0.8035,0.85242,0.99364,0.000820675,0.000820675,0.000820675
45,3695.43,0.96939,0.77892,1.11438,0.93528,0.92072,0.95686,0.75572,0.89021,0.71035,1.02036,0.000806528,0.000806528,0.000806528
46,3750.63,0.94805,0.74955,1.09702,0.94093,0.89074,0.92965,0.73753,0.8533,0.76154,1.00051,0.00079238,0.00079238,0.00079238
47,3805.03,0.90275,0.70626,1.08138,0.87216,0.88776,0.92424,0.73489,0.81176,0.78035,1.00431,0.000778233,0.000778233,0.000778233
48,3859.89,0.91975,0.72781,1.08778,0.95704,0.89031,0.91356,0.72635,0.81376,0.73825,1.03448,0.000764086,0.000764086,0.000764086
49,3918.23,0.93243,0.69343,1.10818,0.84893,0.84212,0.88305,0.64243,0.99847,0.98153,1.07979,0.000749939,0.000749939,0.000749939
50,3975.92,0.98542,0.76372,1.12863,0.96879,0.87196,0.89355,0.67615,0.92663,0.77648,1.0548,0.000735792,0.000735792,0.000735792
51,4030.3,0.88586,0.67631,1.10038,0.96412,0.87418,0.92851,0.71473,0.89074,0.71002,1.02163,0.000721645,0.000721645,0.000721645
52,4085.96,0.9042,0.68087,1.08352,0.95594,0.87773,0.93158,0.70608,0.87893,0.71974,1.02549,0.000707498,0.000707498,0.000707498
53,4141.12,0.88135,0.66247,1.06508,0.9435,0.87508,0.92192,0.69158,0.89136,0.72593,1.0209,0.000693351,0.000693351,0.000693351
54,4194.54,0.93474,0.68855,1.0928,0.93311,0.89229,0.92247,0.70288,0.8923,0.74024,1.00346,0.000679204,0.000679204,0.000679204
55,4247.93,0.87475,0.66943,1.0706,0.96209,0.88871,0.94429,0.72406,0.88062,0.66016,1.02098,0.000665057,0.000665057,0.000665057
56,4301.85,0.88668,0.65939,1.06939,0.88729,0.91263,0.96343,0.74591,0.87848,0.63247,0.99944,0.000650909,0.000650909,0.000650909
